Gene Symbol	Gene ID	Median (Tumor)	Median (Normal)	Log2(Fold Change)	adjp
ETHE1	ENSG00000105755.7	76.28	31.741	1.239	1.79E-27
ODC1	ENSG00000115758.12	66.705	27.689	1.239	5.16E-26
SIGLEC10	ENSG00000142512.14	4.735	1.43	1.239	6.61E-22
RAMP2	ENSG00000131477.10	41.55	17.03	1.239	6.29E-20
SRGN	ENSG00000122862.4	86.291	35.991	1.239	5.98E-18
LRR1	ENSG00000165501.16	9.83	3.59	1.238	6.50E-69
RNPS1	ENSG00000205937.11	144.486	60.711	1.237	1.52E-49
TDO2	ENSG00000151790.8	1.735	0.16	1.237	8.62E-42
TMBIM6	ENSG00000139644.12	562.924	238.293	1.237	3.68E-39
SH3RF1	ENSG00000154447.14	14.82	5.71	1.237	1.58E-31
WDR60	ENSG00000126870.15	15.945	6.19	1.237	2.06E-23
BACE2	ENSG00000182240.15	81.43	33.96	1.237	9.84E-18
CRIPT	ENSG00000119878.5	11.91	4.48	1.236	2.91E-63
C15orf39	ENSG00000167173.18	17.68	6.93	1.236	3.39E-52
C1QBP	ENSG00000108561.8	120.734	50.691	1.236	6.00E-48
ITCH	ENSG00000078747.12	18.155	7.13	1.236	9.68E-35
MEF2C	ENSG00000081189.13	10.05	3.69	1.236	2.22E-19
AC005943.6	ENSG00000279009.1	1.355	0	1.236	3.32E-09
MRPS30	ENSG00000112996.9	26.725	10.78	1.235	2.34E-67
RPF2	ENSG00000197498.12	21.765	8.67	1.235	3.18E-59
ATL3	ENSG00000184743.12	20.165	7.99	1.235	1.94E-19
ERBB2	ENSG00000141736.13	64.35	26.77	1.235	7.40E-17
RAB31	ENSG00000168461.12	21.069	8.38	1.234	2.17E-06
TBC1D7	ENSG00000145979.17	15.875	6.18	1.233	2.30E-60
SLBP	ENSG00000163950.12	42.656	17.57	1.233	9.54E-54
AHCY	ENSG00000101444.12	114.463	48.13	1.233	1.44E-48
CXCL6	ENSG00000124875.9	1.68	0.14	1.233	6.65E-22
RP11-315D16.2	ENSG00000260007.1	1.35	0	1.233	1.66E-19
ZBP1	ENSG00000124256.14	3.325	0.84	1.233	4.36E-19
MIER1	ENSG00000198160.14	17.39	6.83	1.232	6.71E-51
FUOM	ENSG00000148803.11	16.24	6.34	1.232	5.80E-24
LSM7	ENSG00000130332.14	106.48	44.789	1.231	7.87E-59
LRRC59	ENSG00000108829.9	89.734	37.66	1.231	1.53E-49
CANX	ENSG00000127022.14	211.314	89.479	1.231	8.81E-46
SLFN5	ENSG00000166750.9	8.365	2.99	1.231	9.93E-29
RBM18	ENSG00000119446.13	13.26	5.08	1.23	2.43E-57
ELF1	ENSG00000120690.13	39.825	16.4	1.23	3.23E-50
ADRM1	ENSG00000130706.12	101.969	42.89	1.23	5.28E-46
WDR34	ENSG00000119333.11	46.605	19.3	1.23	1.05E-42
RBM47	ENSG00000163694.14	55.445	23.07	1.23	1.80E-37
GALNT3	ENSG00000115339.13	39.435	16.24	1.23	1.34E-26
CLIC5	ENSG00000112782.15	3.645	0.98	1.23	4.69E-21
INPP4B	ENSG00000109452.12	5.895	1.94	1.23	1.32E-18
MASTL	ENSG00000120539.14	6.455	2.18	1.229	9.24E-64
CARM1	ENSG00000142453.11	38.969	16.05	1.229	7.43E-49
CDK4	ENSG00000135446.16	84.629	35.52	1.229	2.48E-42
TUBB4B	ENSG00000188229.5	263.89	111.979	1.229	3.48E-36
LINC00665	ENSG00000232677.6	5.96	1.97	1.229	5.14E-10
BCLAF1	ENSG00000029363.15	60.89	25.419	1.228	2.74E-54
RP11-424C20.2	ENSG00000256663.1	1.53	0.08	1.228	1.14E-49
AL589743.1	ENSG00000279508.1	1.835	0.21	1.228	1.01E-31
MAN1A1	ENSG00000111885.6	20.765	8.29	1.228	1.34E-17
CMTM6	ENSG00000091317.7	29.431	12	1.227	2.84E-63
TCFL5	ENSG00000101190.12	7.005	2.42	1.227	1.26E-32
PFN1	ENSG00000108518.7	792.352	337.887	1.227	5.06E-32
GPX8	ENSG00000164294.13	8.81	3.19	1.227	4.64E-27
AC069213.1	ENSG00000224769.1	4.64	1.41	1.227	1.88E-12
C5orf51	ENSG00000205765.8	10.815	4.05	1.226	3.72E-52
KIAA1671	ENSG00000197077.12	15.02	5.85	1.226	5.56E-35
MR1	ENSG00000153029.14	8.71	3.15	1.226	1.53E-27
CMTM3	ENSG00000140931.19	18.435	7.31	1.226	6.97E-21
MUC2	ENSG00000198788.8	1.41	0.03	1.226	2.46E-11
DCUN1D1	ENSG00000043093.13	12.56	4.8	1.225	1.28E-37
ANAPC1	ENSG00000153107.11	13.48	5.2	1.224	4.49E-56
GNE	ENSG00000159921.14	7.785	2.76	1.224	1.14E-18
CORO1C	ENSG00000110880.10	48.566	20.22	1.224	4.48E-13
TAOK3	ENSG00000135090.13	27.44	11.18	1.223	2.32E-55
MAPRE2	ENSG00000166974.12	28.14	11.48	1.223	1.63E-31
ASAP1	ENSG00000153317.14	14.455	5.62	1.223	2.47E-30
HLA-F	ENSG00000204642.13	113.55	48.07	1.223	2.11E-21
TAF3	ENSG00000165632.7	6.44	2.19	1.222	2.75E-64
MOB4	ENSG00000115540.14	24.22	9.81	1.222	6.14E-47
POLA2	ENSG00000014138.8	17.635	6.99	1.222	1.09E-40
PTPRA	ENSG00000132670.20	38.589	15.97	1.222	1.49E-38
SMAD3	ENSG00000166949.15	27.345	11.15	1.222	4.57E-25
SIT1	ENSG00000137078.8	2.92	0.68	1.222	3.11E-23
MMD	ENSG00000108960.7	7.835	2.79	1.221	5.53E-18
CCDC86	ENSG00000110104.11	23.429	9.49	1.22	2.24E-52
SPTLC2	ENSG00000100596.6	16.025	6.31	1.22	6.50E-41
GOLIM4	ENSG00000173905.8	28.555	11.69	1.22	1.19E-35
STAU2	ENSG00000040341.17	21.295	8.57	1.22	4.39E-34
BRD4	ENSG00000141867.17	38.039	15.77	1.219	1.84E-51
ANXA11	ENSG00000122359.17	268.95	114.96	1.219	5.76E-45
ZDHHC12	ENSG00000160446.18	70.874	29.871	1.219	3.27E-43
PLAGL2	ENSG00000126003.6	12.145	4.65	1.218	1.15E-39
ADCY7	ENSG00000121281.12	7.795	2.78	1.218	2.55E-31
FAM3C2	ENSG00000174028.6	15.98	6.3	1.218	9.63E-22
GBA	ENSG00000177628.15	41.959	17.48	1.217	2.13E-54
PVR	ENSG00000073008.14	25.005	10.19	1.217	9.63E-39
LL22NC03-N14H11.1	ENSG00000272872.1	2.115	0.34	1.217	5.30E-28
SH3D21	ENSG00000214193.9	3.95	1.13	1.217	1.17E-20
PLAC8	ENSG00000145287.10	58.018	24.39	1.217	6.09E-08
MCMBP	ENSG00000197771.12	30.355	12.5	1.216	9.54E-46
PGM2	ENSG00000169299.13	15.915	6.28	1.216	1.03E-19
ITGB7	ENSG00000139626.15	4.46	1.35	1.216	6.02E-18
TTLL5	ENSG00000119685.19	12.67	4.89	1.215	2.69E-59
CSK	ENSG00000103653.16	46.341	19.39	1.215	5.39E-44
PRSS22	ENSG00000005001.9	20.675	8.34	1.215	6.48E-14
TAF1B	ENSG00000115750.16	7.095	2.49	1.214	6.94E-68
PFDN4	ENSG00000101132.9	35.896	14.9	1.214	9.35E-43
SNORA23	ENSG00000201998.1	1.32	0	1.214	1.40E-29
HIST1H2BC	ENSG00000180596.7	4.545	1.39	1.214	2.73E-16
AP000439.3	ENSG00000255774.1	1.32	0	1.214	1.16E-15
EML4	ENSG00000143924.18	27.76	11.41	1.213	1.77E-62
PSMA5	ENSG00000143106.12	64.96	27.46	1.213	3.24E-61
H2AFY	ENSG00000113648.16	133.851	57.162	1.213	2.21E-58
SPRED2	ENSG00000198369.9	18.425	7.38	1.213	2.05E-47
NSD1	ENSG00000165671.18	13.235	5.14	1.213	4.52E-42
TMEM189	ENSG00000240849.10	38.19	15.899	1.213	4.85E-36
AC009005.2	ENSG00000267751.5	2.685	0.59	1.213	2.42E-29
WWTR1	ENSG00000018408.14	27.065	11.11	1.213	1.57E-05
COA7	ENSG00000162377.5	7.875	2.83	1.212	2.99E-65
PANX1	ENSG00000110218.8	9.055	3.34	1.212	4.21E-34
SF3B6	ENSG00000115128.6	102.796	43.849	1.211	3.60E-50
MARVELD2	ENSG00000152939.14	11.755	4.51	1.211	1.58E-43
ATP9A	ENSG00000054793.13	20.81	8.42	1.211	2.90E-30
HAPLN3	ENSG00000140511.11	7.475	2.66	1.211	2.53E-24
RP11-567G11.1	ENSG00000228952.1	1.315	0	1.211	2.15E-11
COQ2	ENSG00000173085.13	9.06	3.35	1.21	1.71E-61
RFC4	ENSG00000163918.10	19.75	7.97	1.21	2.41E-50
EIF5A	ENSG00000132507.17	369.696	159.277	1.21	5.82E-42
MYH9	ENSG00000100345.20	214.635	92.219	1.21	8.73E-32
MFSD6	ENSG00000151690.14	29.009	11.97	1.21	1.96E-28
TIPIN	ENSG00000075131.9	6.885	2.41	1.209	2.09E-65
KNSTRN	ENSG00000128944.13	15.74	6.24	1.209	5.08E-44
NFATC2	ENSG00000101096.19	7.07	2.49	1.209	3.32E-35
BMP1	ENSG00000168487.17	17.13	6.84	1.209	8.24E-22
GNB4	ENSG00000114450.9	6.955	2.44	1.209	1.75E-10
ASCC3	ENSG00000112249.13	13.16	5.13	1.208	6.54E-55
ZNF121	ENSG00000197961.11	9.005	3.33	1.208	1.54E-52
PDS5B	ENSG00000083642.18	16.53	6.59	1.208	5.58E-49
PEAK1	ENSG00000173517.10	10.41	3.94	1.208	1.22E-36
G6PD	ENSG00000160211.15	40.595	16.999	1.208	6.62E-33
KLF3	ENSG00000109787.12	39.246	16.42	1.208	2.03E-32
NOTCH2	ENSG00000134250.17	14.34	5.64	1.208	4.45E-20
SEMA3C	ENSG00000075223.13	14.875	5.87	1.208	4.79E-06
C2orf82	ENSG00000182600.9	2.925	0.7	1.207	9.65E-24
ADAMTS2	ENSG00000087116.13	11	4.2	1.207	7.81E-18
ATP6V1C1	ENSG00000155097.11	23.38	9.57	1.206	9.91E-48
CCT3	ENSG00000163468.14	145.214	62.378	1.206	5.66E-46
TCF7L2	ENSG00000148737.15	29.41	12.18	1.206	1.08E-41
SIAE	ENSG00000110013.12	21.915	8.93	1.206	3.50E-32
PPME1	ENSG00000214517.8	29.55	12.25	1.205	2.46E-59
INPP5D	ENSG00000168918.13	12.785	4.98	1.205	5.47E-19
CTSK	ENSG00000143387.12	39.734	16.67	1.205	1.59E-15
TMEM41A	ENSG00000163900.10	17.205	6.9	1.204	2.18E-54
EIF3H	ENSG00000147677.10	287.117	124.068	1.204	4.79E-44
IGHV3-48	ENSG00000211964.3	4.39	1.34	1.204	7.57E-06
AC133644.2	ENSG00000280721.1	2.43	0.49	1.203	7.25E-54
CDK2AP2	ENSG00000167797.7	103.978	44.591	1.203	3.30E-42
SLC25A15	ENSG00000102743.14	5.815	1.96	1.203	1.02E-41
GOLGA7	ENSG00000147533.16	40.99	17.24	1.203	3.66E-41
ZNF319	ENSG00000166188.2	6.25	2.15	1.203	5.31E-36
NEIL3	ENSG00000109674.3	1.485	0.08	1.202	1.49E-69
ZNF252P	ENSG00000196922.10	12.78	4.99	1.202	4.25E-49
SAMD10	ENSG00000130590.13	9.995	3.78	1.202	1.02E-43
URI1	ENSG00000105176.17	36.991	15.51	1.202	1.03E-31
RP11-589N15.2	ENSG00000269899.1	3.14	0.8	1.202	4.65E-28
MNS1	ENSG00000138587.5	2.815	0.66	1.201	3.39E-34
CRISPLD1	ENSG00000121005.8	1.965	0.29	1.201	9.43E-30
GPX4	ENSG00000167468.16	302.029	130.843	1.201	6.99E-29
SLC19A3	ENSG00000135917.13	1.92	0.27	1.201	4.91E-21
RBM15	ENSG00000162775.14	6.19	2.13	1.2	6.58E-66
MX1	ENSG00000157601.13	40.19	16.93	1.2	7.55E-19
TPPP3	ENSG00000159713.10	24.085	9.92	1.2	2.68E-12
THBS4	ENSG00000113296.14	4.905	1.57	1.2	1.01E-05
C3orf38	ENSG00000179021.9	10	3.79	1.199	1.80E-70
CDC123	ENSG00000151465.13	50.924	21.61	1.199	6.90E-61
IDE	ENSG00000119912.15	17.185	6.92	1.199	5.26E-47
EIF4EP2	ENSG00000229944.3	6.28	2.17	1.199	1.64E-35
MGME1	ENSG00000125871.13	12.93	5.07	1.198	2.38E-64
DYX1C1	ENSG00000256061.7	2.555	0.55	1.198	4.49E-48
AGO3	ENSG00000126070.18	6.225	2.15	1.198	1.65E-47
CCSER2	ENSG00000107771.15	14.32	5.68	1.198	1.17E-19
WNT10A	ENSG00000135925.8	1.845	0.24	1.198	4.76E-19
ACTL6A	ENSG00000136518.16	42.299	17.89	1.197	1.45E-60
LIPT2	ENSG00000175536.6	4.55	1.42	1.197	4.66E-49
TRRAP	ENSG00000196367.12	11.605	4.5	1.197	1.62E-44
BCL2L14	ENSG00000121380.12	11.47	4.44	1.197	1.79E-19
IDS	ENSG00000010404.17	38.941	16.42	1.197	7.73E-19
FAM117B	ENSG00000138439.11	4.865	1.56	1.196	2.33E-58
WIPF2	ENSG00000171475.13	18.29	7.42	1.196	1.22E-43
TPST2	ENSG00000128294.15	15.34	6.13	1.196	4.16E-41
KCNAB2	ENSG00000069424.14	11.07	4.27	1.196	1.01E-32
HNF1B	ENSG00000275410.4	12.24	4.78	1.196	1.81E-31
UBE2D4	ENSG00000078967.12	15.955	6.4	1.196	8.25E-29
DAB2	ENSG00000153071.14	19.764	8.06	1.196	3.05E-19
CYP51A1	ENSG00000001630.15	36.736	15.47	1.196	9.14E-18
UBXN2A	ENSG00000173960.12	9.35	3.52	1.195	1.26E-48
GLA	ENSG00000102393.9	25.885	10.74	1.195	1.84E-42
FLVCR2	ENSG00000119686.9	2.755	0.64	1.195	6.75E-29
PSAT1	ENSG00000135069.13	18.169	7.37	1.195	2.18E-11
STX7	ENSG00000079950.13	24.9	10.32	1.194	3.47E-34
GCLM	ENSG00000023909.9	9.525	3.6	1.194	5.42E-32
ITGB6	ENSG00000115221.10	8.565	3.18	1.194	2.17E-16
HSPE1-MOB4	ENSG00000270757.1	5.75	1.95	1.194	3.13E-12
STAU1	ENSG00000124214.19	63.564	27.24	1.193	1.55E-54
SET	ENSG00000119335.16	149.468	64.811	1.193	2.78E-52
HNRNPF	ENSG00000169813.16	139.904	60.618	1.193	2.53E-50
NCR3LG1	ENSG00000188211.8	2.43	0.5	1.193	5.38E-39
SSH1	ENSG00000084112.14	8.99	3.37	1.193	5.08E-29
GZMH	ENSG00000100450.12	3.025	0.76	1.193	1.21E-22
CTC-487M23.8	ENSG00000272869.5	2.11	0.36	1.193	1.91E-22
LEO1	ENSG00000166477.12	15.795	6.35	1.192	5.63E-64
PDE12	ENSG00000174840.8	9.92	3.78	1.192	7.30E-46
YWHAH	ENSG00000128245.14	133.712	57.952	1.192	8.10E-44
PCDH17	ENSG00000118946.11	2.725	0.63	1.192	2.28E-41
URB2	ENSG00000135763.9	4.525	1.42	1.191	3.70E-57
RAB2A	ENSG00000104388.14	90.82	39.229	1.191	3.41E-50
CTD-2267D19.3	ENSG00000266208.1	4.525	1.42	1.191	2.97E-41
TNFRSF4	ENSG00000186827.10	4.525	1.42	1.191	6.49E-41
PEX26	ENSG00000215193.12	17.88	7.27	1.191	2.15E-37
SLC1A5	ENSG00000105281.12	65.73	28.23	1.191	5.39E-26
CDKL1	ENSG00000100490.9	4.41	1.37	1.191	1.11E-22
A1CF	ENSG00000148584.14	1.625	0.15	1.191	1.83E-16
EBNA1BP2	ENSG00000117395.10	59.575	25.55	1.19	5.28E-52
ERGIC2	ENSG00000087502.17	45.48	19.37	1.19	7.47E-50
MRPL14	ENSG00000180992.6	46.475	19.81	1.19	3.25E-46
NAT1	ENSG00000171428.13	5.89	2.02	1.19	4.14E-37
IQCE	ENSG00000106012.17	14.88	5.96	1.19	4.40E-37
EGLN1	ENSG00000135766.8	14.63	5.85	1.19	5.64E-27
PLA2G10	ENSG00000069764.9	10.679	4.12	1.19	1.09E-11
ZNF281	ENSG00000162702.7	6.32	2.21	1.189	1.08E-66
B3GNT2	ENSG00000170340.10	16.515	6.68	1.189	1.57E-56
MRPS10	ENSG00000048544.5	26.125	10.9	1.189	6.10E-48
LHFPL2	ENSG00000145685.13	14.87	5.96	1.189	1.58E-25
POLH	ENSG00000170734.11	6.68	2.37	1.188	1.68E-48
RN7SL138P	ENSG00000266274.2	2.075	0.35	1.188	2.04E-48
DLGAP1-AS1	ENSG00000177337.7	8.525	3.18	1.188	7.24E-22
SRGAP2D	ENSG00000270872.2	2.145	0.38	1.188	1.10E-21
RP11-361L15.3	ENSG00000280416.1	22.681	9.39	1.188	9.01E-03
NDUFAF4	ENSG00000123545.5	36.108	15.3	1.187	2.30E-49
CD3G	ENSG00000160654.9	2.87	0.7	1.187	3.55E-31
PSME2	ENSG00000100911.13	186.779	81.469	1.187	2.30E-30
EDNRA	ENSG00000151617.15	5.33	1.78	1.187	1.18E-13
TIRAP	ENSG00000150455.13	8.94	3.37	1.186	9.81E-46
THAP1	ENSG00000131931.8	7.575	2.77	1.186	2.82E-45
RP11-486A14.1	ENSG00000257512.1	1.275	0	1.186	6.10E-38
PA2G4	ENSG00000170515.13	98.683	42.86	1.184	1.13E-44
SURF4	ENSG00000148248.13	129.382	56.398	1.184	6.28E-43
U2SURP	ENSG00000163714.17	44.665	19.1	1.184	1.58E-42
NABP2	ENSG00000139579.12	34.045	14.43	1.183	5.75E-56
COMMD2	ENSG00000114744.8	17.17	7	1.183	1.06E-49
GMFB	ENSG00000197045.12	19.005	7.81	1.183	3.61E-48
PAWR	ENSG00000177425.10	23.335	9.72	1.183	9.03E-44
GTF2A2	ENSG00000140307.10	87.89	38.149	1.183	4.90E-38
IMPACT	ENSG00000154059.9	11.92	4.69	1.183	1.45E-30
REEP3	ENSG00000165476.12	16.16	6.56	1.183	1.57E-27
IDH1	ENSG00000138413.13	71.495	30.93	1.183	5.49E-25
HLA-H	ENSG00000206341.7	16.78	6.83	1.183	1.81E-13
LPP	ENSG00000145012.12	28.859	12.15	1.183	2.44E-08
RP11-588K22.2	ENSG00000260244.1	5.56	1.89	1.183	1.41E-06
KIAA0196	ENSG00000164961.15	26.38	11.07	1.182	4.57E-59
RFC5	ENSG00000111445.13	12.98	5.16	1.182	2.14E-55
KRR1	ENSG00000111615.12	28.011	11.79	1.182	1.92E-53
KLHL7	ENSG00000122550.17	13.48	5.38	1.182	7.01E-39
PSPH	ENSG00000146733.13	10.82	4.21	1.182	2.24E-34
GSDMB	ENSG00000073605.18	36.354	15.46	1.182	1.11E-11
TMEM144	ENSG00000164124.10	7.775	2.87	1.181	3.89E-28
SLC29A2	ENSG00000174669.11	11.605	4.56	1.181	6.72E-28
EGR2	ENSG00000122877.13	3.105	0.81	1.181	7.46E-20
JSRP1	ENSG00000167476.10	2.605	0.59	1.181	5.92E-11
NIP7	ENSG00000132603.13	16.27	6.62	1.18	4.89E-67
PIP5K1B	ENSG00000107242.17	17.055	6.97	1.18	3.81E-22
CETN2	ENSG00000147400.8	30.659	12.97	1.18	1.38E-18
IGHV3-33	ENSG00000211955.2	35.514	15.12	1.18	6.43E-05
LCORL	ENSG00000178177.14	5.27	1.77	1.179	1.12E-51
NUPL1	ENSG00000139496.15	17.025	6.96	1.179	1.83E-41
PGF	ENSG00000119630.13	5.86	2.03	1.179	2.48E-22
HPRT1	ENSG00000165704.14	32.514	13.81	1.178	1.60E-55
SUMO1P3	ENSG00000235082.2	2.575	0.58	1.178	1.42E-53
PHF20	ENSG00000025293.15	20.175	8.36	1.178	1.76E-48
TMED5	ENSG00000117500.12	30.781	13.05	1.178	1.40E-44
PROSER3	ENSG00000167595.14	15.885	6.46	1.178	1.80E-36
SH3BP4	ENSG00000130147.15	32.66	13.88	1.178	6.81E-36
IGHV3-49	ENSG00000211965.3	8.89	3.37	1.178	3.60E-06
CNOT6	ENSG00000113300.11	11.21	4.4	1.177	1.31E-56
RAB3IP	ENSG00000127328.21	21.07	8.76	1.177	6.63E-39
SCAF1	ENSG00000126461.14	31.86	13.53	1.177	2.80E-35
PLEKHA3	ENSG00000116095.10	13.475	5.4	1.177	6.01E-32
CPPED1	ENSG00000103381.11	11.455	4.51	1.177	4.09E-29
NIPAL1	ENSG00000163293.11	4.405	1.39	1.177	7.27E-25
TBL2	ENSG00000106638.15	29.566	12.53	1.176	5.01E-47
PIGX	ENSG00000163964.13	13.075	5.23	1.176	5.77E-45
PFDN2	ENSG00000143256.4	69.201	30.07	1.176	3.53E-42
SP3	ENSG00000172845.13	26.145	11.01	1.176	1.41E-40
RCAN3	ENSG00000117602.11	9.78	3.77	1.176	8.71E-39
TIGIT	ENSG00000181847.11	1.915	0.29	1.176	1.91E-36
ZMYM1	ENSG00000197056.9	6.205	2.19	1.175	2.08E-50
PHF6	ENSG00000156531.16	8.3	3.12	1.175	2.42E-47
NUP50	ENSG00000093000.18	24.02	10.08	1.175	1.26E-42
OPA1	ENSG00000198836.8	28.135	11.9	1.175	1.36E-37
MAP1LC3B	ENSG00000140941.12	55.01	23.811	1.175	2.87E-30
MFAP3	ENSG00000037749.11	11.44	4.51	1.175	5.33E-27
SPOCK2	ENSG00000107742.12	8.89	3.38	1.175	1.69E-20
NUP98	ENSG00000110713.15	43.96	18.93	1.174	9.92E-57
IKZF1	ENSG00000185811.16	4.595	1.48	1.174	6.97E-18
OPA3	ENSG00000125741.4	8.065	3.02	1.173	7.34E-61
PROSER1	ENSG00000120685.19	22.61	9.47	1.173	1.95E-53
CPNE3	ENSG00000085719.11	31.23	13.29	1.173	4.63E-35
EIF4EBP1	ENSG00000187840.4	78.034	34.04	1.173	3.58E-30
C8orf31	ENSG00000177335.10	2.09	0.37	1.173	6.13E-30
APC	ENSG00000134982.16	6.215	2.2	1.173	2.78E-24
P2RY10	ENSG00000078589.12	2.09	0.37	1.173	1.55E-22
SKI	ENSG00000157933.9	27.029	11.43	1.173	2.44E-20
C17orf49	ENSG00000258315.5	63.709	27.71	1.172	2.75E-57
TMCC1	ENSG00000172765.16	10.535	4.12	1.172	7.61E-44
BTN3A3	ENSG00000111801.15	14.725	5.98	1.172	2.10E-20
PAFAH1B2	ENSG00000168092.13	29.79	12.67	1.171	9.01E-68
MRPL57	ENSG00000173141.4	23.985	10.1	1.171	1.18E-53
FBXO22	ENSG00000167196.13	15.19	6.19	1.171	1.05E-48
POT1	ENSG00000128513.14	12.26	4.89	1.171	2.25E-38
RMND5A	ENSG00000153561.12	14.695	5.97	1.171	2.01E-34
RP5-1180D12.1	ENSG00000280202.1	2.4	0.51	1.171	1.43E-27
RPGRIP1L	ENSG00000103494.12	3.095	0.82	1.17	3.31E-70
ZBED4	ENSG00000100426.6	6.875	2.5	1.17	5.95E-61
TRMT6	ENSG00000089195.14	10.405	4.07	1.17	1.36E-55
TRAF2	ENSG00000127191.17	13.175	5.3	1.17	2.18E-54
RFX7	ENSG00000181827.14	5.12	1.72	1.17	1.07E-41
PRKCI	ENSG00000163558.12	24.83	10.48	1.17	5.58E-33
MYL12B	ENSG00000118680.12	439.813	195.103	1.169	2.38E-42
CUX1	ENSG00000257923.9	56.635	24.64	1.169	9.11E-33
PECAM1	ENSG00000261371.5	43.175	18.65	1.169	2.10E-14
IQCK	ENSG00000174628.16	12.435	4.98	1.168	1.18E-56
TFDP2	ENSG00000114126.17	16.865	6.95	1.168	2.99E-26
POLA1	ENSG00000101868.10	5.625	1.95	1.167	2.52E-52
RBBP4	ENSG00000162521.18	83.882	36.79	1.167	6.26E-47
RPLP0P6	ENSG00000213553.4	19.66	8.2	1.167	3.36E-45
C4orf19	ENSG00000154274.14	11.42	4.53	1.167	8.79E-19
COMP	ENSG00000105664.10	2.525	0.57	1.167	9.44E-18
IGLV1-47	ENSG00000211648.2	40.894	17.66	1.167	3.75E-06
SEPN1	ENSG00000162430.16	58.549	25.539	1.166	1.25E-39
BCL10	ENSG00000142867.12	12.19	4.88	1.166	4.63E-37
STIP1	ENSG00000168439.16	91.154	40.07	1.166	1.09E-35
GMIP	ENSG00000089639.10	15.555	6.38	1.166	1.85E-35
ARID5B	ENSG00000150347.14	13.36	5.4	1.166	7.95E-25
HEYL	ENSG00000163909.7	6.45	2.32	1.166	4.30E-22
LIN7C	ENSG00000148943.11	11.195	4.44	1.165	3.68E-47
MAML1	ENSG00000161021.11	20.98	8.8	1.165	4.83E-33
SOCS6	ENSG00000170677.5	11.284	4.48	1.165	1.58E-26
PTK7	ENSG00000112655.15	17.565	7.28	1.165	4.97E-24
PLEKHA6	ENSG00000143850.12	30.15	12.89	1.165	4.46E-22
STAP2	ENSG00000178078.11	39.03	16.85	1.165	8.61E-21
TXNDC9	ENSG00000115514.11	22.01	9.27	1.164	1.24E-67
NAF1	ENSG00000145414.8	10	3.91	1.164	1.79E-42
ARL13B	ENSG00000169379.15	4.825	1.6	1.164	4.56E-42
CD164	ENSG00000135535.14	192.037	85.159	1.164	1.47E-39
RASGEF1A	ENSG00000198915.11	2.295	0.47	1.164	9.80E-27
CEP170	ENSG00000143702.15	10.09	3.95	1.164	7.84E-24
GLS	ENSG00000115419.12	25.865	10.99	1.164	7.44E-20
GLIPR1	ENSG00000139278.9	13.725	5.57	1.164	2.85E-13
PSMC4	ENSG00000013275.7	81.196	35.7	1.163	6.64E-51
ALYREF	ENSG00000183684.7	57.185	24.989	1.163	8.23E-51
SEL1L3	ENSG00000091490.10	68.735	30.141	1.163	8.89E-37
IL1RAP	ENSG00000196083.9	4.485	1.45	1.163	8.41E-34
ANKIB1	ENSG00000001629.9	15.14	6.21	1.163	5.92E-32
RCOR2	ENSG00000167771.5	2.27	0.46	1.163	3.65E-30
APLN	ENSG00000171388.11	2.045	0.36	1.163	2.80E-26
U91328.21	ENSG00000272558.1	1.24	0	1.163	5.56E-24
MSANTD3	ENSG00000066697.14	15.985	6.59	1.162	1.46E-48
VGLL4	ENSG00000144560.13	39.09	16.91	1.162	2.57E-33
TNFAIP8L1	ENSG00000185361.8	8.915	3.43	1.162	1.04E-10
SLC39A9	ENSG00000029364.11	28.145	12.03	1.161	1.72E-54
C16orf13	ENSG00000130731.15	100.002	44.181	1.161	4.89E-53
FADD	ENSG00000168040.4	15.945	6.58	1.161	2.24E-48
CDS2	ENSG00000101290.13	17.584	7.31	1.161	2.74E-33
PRRG1	ENSG00000130962.17	4.345	1.39	1.161	2.56E-29
CRACR2A	ENSG00000130038.9	3.675	1.09	1.161	1.49E-22
CSTB	ENSG00000160213.5	84.785	37.369	1.161	8.08E-16
PRRC1	ENSG00000164244.20	23.51	9.97	1.16	6.75E-60
FUCA2	ENSG00000001036.13	42.785	18.59	1.16	1.04E-54
SEC23IP	ENSG00000107651.12	28.884	12.37	1.16	4.12E-51
GOSR1	ENSG00000108587.14	23.895	10.14	1.16	9.00E-49
ARF4	ENSG00000168374.10	177.189	78.721	1.16	2.72E-46
GAPDHP1	ENSG00000228232.1	2.15	0.41	1.16	1.68E-43
DCTN5	ENSG00000166847.9	36.265	15.68	1.16	3.65E-36
ARID1B	ENSG00000049618.21	17.575	7.31	1.16	4.60E-34
TIMM8A	ENSG00000126953.5	5.61	1.96	1.159	3.64E-79
C7orf73	ENSG00000243317.7	26.98	11.53	1.159	9.86E-59
TOPBP1	ENSG00000163781.12	19.07	7.99	1.159	9.29E-42
CTU1	ENSG00000142544.6	5.74	2.02	1.158	7.89E-52
HMGB1P5	ENSG00000132967.9	57.549	25.24	1.158	6.93E-36
WFDC21P	ENSG00000261040.6	3.53	1.03	1.158	5.21E-11
PIGK	ENSG00000142892.14	14.85	6.11	1.157	7.99E-43
LINGO1	ENSG00000169783.12	2.725	0.67	1.157	4.49E-33
AP000275.65	ENSG00000265590.9	2.68	0.65	1.157	2.79E-14
DUSP8	ENSG00000184545.10	11.11	4.43	1.157	7.09E-12
